Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,0014-4029,1.704,Not Available,Special Education,2005
AMERICAN JOURNAL ON MENTAL RETARDATION,AM J MENT RETARD,0895-8017,1.640,Not Available,Special Education,2005
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,0094-730X,1.639,Not Available,Special Education,2005
DYSLEXIA,DYSLEXIA,1076-9242,1.290,Not Available,Special Education,2005
ANNALS OF DYSLEXIA,ANN DYSLEXIA,0736-9387,1.250,Not Available,Special Education,2005
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,0022-4669,1.154,Not Available,Special Education,2005
MENTAL RETARDATION,MENT RETARD,0047-6765,1.090,Not Available,Special Education,2005
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,0964-2633,1.047,Not Available,Special Education,2005
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,0022-2194,1.011,Not Available,Special Education,2005
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,J POSIT BEHAV INTERV,1098-3007,0.932,Not Available,Special Education,2005
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,1053-8151,0.914,Not Available,Special Education,2005
RESEARCH IN DEVELOPMENTAL DISABILITIES,RES DEV DISABIL,0891-4222,0.767,Not Available,Special Education,2005
INTERNATIONAL REVIEW OF RESEARCH IN MENTAL RETARDATION,INT REV RES MENT RET,0074-7750,0.676,Not Available,Special Education,2005
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,J INTELLECT DEV DIS,1366-8250,0.635,Not Available,Special Education,2005
VOLTA REVIEW,VOLTA REV,0042-8639,0.629,Not Available,Special Education,2005
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,0271-1214,0.594,Not Available,Special Education,2005
INFANTS AND YOUNG CHILDREN,INFANT YOUNG CHILD,0896-3746,0.579,Not Available,Special Education,2005
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,0.486,Not Available,Special Education,2005
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,0741-9325,0.453,Not Available,Special Education,2005
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,RES PRACT PERS SEV D,0274-9483,0.425,Not Available,Special Education,2005
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,0016-9862,0.409,Not Available,Special Education,2005
EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES,EDUC TRAIN DEV DISAB,1547-0350,0.373,Not Available,Special Education,2005
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,0.286,Not Available,Special Education,2005
BRITISH JOURNAL OF DEVELOPMENTAL DISABILITIES,BRIT J DEV DISABIL,0969-7950,0.238,Not Available,Special Education,2005
HIGH ABILITY STUDIES,HIGH ABIL STUD,1359-8139,0.227,Not Available,Special Education,2005
INTERVENTION IN SCHOOL AND CLINIC,INTERV SCH CLIN,1053-4512,0.175,Not Available,Special Education,2005
