Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
COMPUTER GRAPHICS WORLD,COMPUT GRAPH WORLD,0271-4159,0.000,0.013,Software Engineering,2012
PROGRAMMING AND COMPUTER SOFTWARE,PROGRAM COMPUT SOFT+,0361-7688,0.105,0.112,Software Engineering,2012
International Journal of Web Services Research,INT J WEB SERV RES,1545-7362,0.182,0.472,Software Engineering,2012
Journal of Web Engineering,J WEB ENG,1540-9589,0.200,0.260,Software Engineering,2012
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,0916-8532,0.218,0.268,Software Engineering,2012
JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY,J RES PRACT INF TECH,1443-458X,0.222,0.360,Software Engineering,2012
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0929-5585,0.286,0.435,Software Engineering,2012
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,0.288,0.414,Software Engineering,2012
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.295,0.336,Software Engineering,2012
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,COMPUT LANG SYST STR,1477-8424,0.296,0.329,Software Engineering,2012
Journal of Zhejiang University-SCIENCE C-Computers & Electronics,J ZHEJIANG U-SCI C,1869-1951,0.297,0.297,Software Engineering,2012
Frontiers of Computer Science,FRONT COMPUT SCI-CHI,2095-2228,0.298,Not Available,Software Engineering,2012
VIRTUAL REALITY,VIRTUAL REAL-LONDON,1359-4338,0.341,Not Available,Software Engineering,2012
Advances in Computers,ADV COMPUT,0065-2458,0.389,0.452,Software Engineering,2012
FUNDAMENTA INFORMATICAE,FUND INFORM,0169-2968,0.399,0.471,Software Engineering,2012
COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,1546-4261,0.436,0.602,Software Engineering,2012
SIGMOD RECORD,SIGMOD REC,0163-5808,0.462,0.649,Software Engineering,2012
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,1000-9000,0.477,0.692,Software Engineering,2012
International Journal of Information Security,INT J INF SECUR,1615-5262,0.480,0.945,Software Engineering,2012
IT Professional,IT PROF,1520-9202,0.482,Not Available,Software Engineering,2012
ALGORITHMICA,ALGORITHMICA,0178-4617,0.488,0.753,Software Engineering,2012
FORMAL ASPECTS OF COMPUTING,FORM ASP COMPUT,0934-5043,0.500,0.591,Software Engineering,2012
ICGA JOURNAL,ICGA J,1389-6911,0.519,0.723,Software Engineering,2012
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,0.522,0.819,Software Engineering,2012
Computer Science and Information Systems,COMPUT SCI INF SYST,1820-0214,0.549,Not Available,Software Engineering,2012
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,J VISUAL LANG COMPUT,1045-926X,0.558,0.783,Software Engineering,2012
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,0167-6423,0.568,0.982,Software Engineering,2012
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,DISCRETE MATH THEOR,1462-7264,0.598,0.597,Software Engineering,2012
IET Software,IET SOFTW,1751-8806,0.658,0.682,Software Engineering,2012
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,0.683,1.011,Software Engineering,2012
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0018-8646,0.688,1.684,Software Engineering,2012
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,SIMUL-T SOC MOD SIM,0037-5497,0.692,0.678,Software Engineering,2012
GRAPHICAL MODELS,GRAPH MODELS,1524-0703,0.697,1.295,Software Engineering,2012
ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,0362-1340,0.705,0.785,Software Engineering,2012
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,0.724,0.765,Software Engineering,2012
